Date,Parashah
30-Dec-2017,Vayechi
,
06-Jan-2018,Shemot
,
13-Jan-2018,Va'eira
,
20-Jan-2018,Bo
,
27-Jan-2018,Beshalach
,
03-Feb-2018,Yitro
,
10-Feb-2018,Mishpatim
,
17-Feb-2018,Terumah
,
24-Feb-2018,Tetzaveh
,
03-Mar-2018,"Ki Tisa"
,
10-Mar-2018,Vayakhel-Pekudei
,
17-Mar-2018,Vayikra
,
24-Mar-2018,Tzav
,
14-Apr-2018,Shemini
,
21-Apr-2018,Tazria-Metzora
,
28-Apr-2018,Acharei-Kedoshim
,
05-May-2018,Emor
,
12-May-2018,Behar-Bechukotai
,
19-May-2018,Bamidbar
,
26-May-2018,Naso
,
02-Jun-2018,Beha'alotecha
,
09-Jun-2018,Shelach
,
16-Jun-2018,Korach
,
23-Jun-2018,Chukat
,
30-Jun-2018,Balak
,
07-Jul-2018,Pinchas
,
14-Jul-2018,Matot-Massei
,
21-Jul-2018,Devarim
,
28-Jul-2018,Va'etchanan
,
04-Aug-2018,Eikev
,
11-Aug-2018,Re'eh
,
18-Aug-2018,Shoftim
,
25-Aug-2018,"Ki Teitzei"
,
01-Sep-2018,"Ki Tavo"
,
08-Sep-2018,Nitzavim
,
15-Sep-2018,Vayelech
,
22-Sep-2018,Ha'azinu
,
06-Oct-2018,Bereishit
,
13-Oct-2018,Noach
,
20-Oct-2018,"Lech Lecha"
,
27-Oct-2018,Vayeira
,
03-Nov-2018,"Chayei Sarah"
,
10-Nov-2018,Toldot
,
17-Nov-2018,Vayeitzei
,
24-Nov-2018,Vayishlach
,
01-Dec-2018,Vayeishev
,
08-Dec-2018,Mikeitz
,
15-Dec-2018,Vayigash
,
22-Dec-2018,Vayechi
,
29-Dec-2018,Shemot
,
05-Jan-2019,Va'eira
,
12-Jan-2019,Bo
,
19-Jan-2019,Beshalach
,
26-Jan-2019,Yitro
,
02-Feb-2019,Mishpatim
,
09-Feb-2019,Terumah
,
16-Feb-2019,Tetzaveh
,
23-Feb-2019,"Ki Tisa"
,
02-Mar-2019,Vayakhel
,
09-Mar-2019,Pekudei
,
16-Mar-2019,Vayikra
,
23-Mar-2019,Tzav
,
30-Mar-2019,Shemini
,
06-Apr-2019,Tazria
,
13-Apr-2019,Metzora
,
04-May-2019,Acharei
,
11-May-2019,Kedoshim
,
18-May-2019,Emor
,
25-May-2019,Behar
,
01-Jun-2019,Bechukotai
,
08-Jun-2019,Bamidbar
,
15-Jun-2019,Naso
,
22-Jun-2019,Beha'alotecha
,
29-Jun-2019,Shelach
,
06-Jul-2019,Korach
,
13-Jul-2019,Chukat
,
20-Jul-2019,Balak
,
27-Jul-2019,Pinchas
,
03-Aug-2019,Matot-Massei
,
10-Aug-2019,Devarim
,
17-Aug-2019,Va'etchanan
,
24-Aug-2019,Eikev
,
31-Aug-2019,Re'eh
,
07-Sep-2019,Shoftim
,
14-Sep-2019,"Ki Teitzei"
,
21-Sep-2019,"Ki Tavo"
,
28-Sep-2019,Nitzavim
,
05-Oct-2019,Vayelech
,
12-Oct-2019,Ha'azinu
,
26-Oct-2019,Bereishit
,
02-Nov-2019,Noach
,
09-Nov-2019,"Lech Lecha"
,
16-Nov-2019,Vayeira
,
23-Nov-2019,"Chayei Sarah"
,
30-Nov-2019,Toldot
,
07-Dec-2019,Vayeitzei
,
14-Dec-2019,Vayishlach
,
21-Dec-2019,Vayeishev
,
28-Dec-2019,Mikeitz
,
04-Jan-2020,Vayigash
,
11-Jan-2020,Vayechi
,
18-Jan-2020,Shemot
,
25-Jan-2020,Va'eira
,
01-Feb-2020,Bo
,
08-Feb-2020,Beshalach
,
15-Feb-2020,Yitro
,
22-Feb-2020,Mishpatim
,
29-Feb-2020,Terumah
,
07-Mar-2020,Tetzaveh
,
14-Mar-2020,"Ki Tisa"
,
21-Mar-2020,Vayakhel-Pekudei
,
28-Mar-2020,Vayikra
,
04-Apr-2020,Tzav
,
18-Apr-2020,Shemini
,
25-Apr-2020,Tazria-Metzora
,
02-May-2020,Acharei-Kedoshim
,
09-May-2020,Emor
,
16-May-2020,Behar-Bechukotai
,
23-May-2020,Bamidbar
,
06-Jun-2020,Naso
,
13-Jun-2020,Beha'alotecha
,
20-Jun-2020,Shelach
,
27-Jun-2020,Korach
,
04-Jul-2020,Chukat-Balak
,
11-Jul-2020,Pinchas
,
18-Jul-2020,Matot-Massei
,
25-Jul-2020,Devarim
,
01-Aug-2020,Va'etchanan
,
08-Aug-2020,Eikev
,
15-Aug-2020,Re'eh
,
22-Aug-2020,Shoftim
,
29-Aug-2020,"Ki Teitzei"
,
05-Sep-2020,"Ki Tavo"
,
12-Sep-2020,Nitzavim-Vayelech
,
26-Sep-2020,Ha'azinu
,
17-Oct-2020,Bereishit
,
24-Oct-2020,Noach
,
31-Oct-2020,"Lech Lecha"
,
07-Nov-2020,Vayeira
,
14-Nov-2020,"Chayei Sarah"
,
21-Nov-2020,Toldot
,
28-Nov-2020,Vayeitzei
,
05-Dec-2020,Vayishlach
,
12-Dec-2020,Vayeishev
,
19-Dec-2020,Mikeitz
,
26-Dec-2020,Vayigash
,
02-Jan-2021,Vayechi
,
09-Jan-2021,Shemot
,
16-Jan-2021,Va'eira
,
23-Jan-2021,Bo
,
30-Jan-2021,Beshalach
,
06-Feb-2021,Yitro
,
13-Feb-2021,Mishpatim
,
20-Feb-2021,Terumah
,
27-Feb-2021,Tetzaveh
,
06-Mar-2021,"Ki Tisa"
,
13-Mar-2021,Vayakhel-Pekudei
,
20-Mar-2021,Vayikra
,
27-Mar-2021,Tzav
,
10-Apr-2021,Shemini
,
17-Apr-2021,Tazria-Metzora
,
24-Apr-2021,Acharei-Kedoshim
,
01-May-2021,Emor
,
08-May-2021,Behar-Bechukotai
,
15-May-2021,Bamidbar
,
22-May-2021,Naso
,
29-May-2021,Beha'alotecha
,
05-Jun-2021,Shelach
,
12-Jun-2021,Korach
,
19-Jun-2021,Chukat
,
26-Jun-2021,Balak
,
03-Jul-2021,Pinchas
,
10-Jul-2021,Matot-Massei
,
17-Jul-2021,Devarim
,
24-Jul-2021,Va'etchanan
,
31-Jul-2021,Eikev
,
07-Aug-2021,Re'eh
,
14-Aug-2021,Shoftim
,
21-Aug-2021,"Ki Teitzei"
,
28-Aug-2021,"Ki Tavo"
,
04-Sep-2021,Nitzavim
,
